passage_id,true_grade,model,raw_response,predicted_grade,parse_error,error_message,duration_seconds
0,3,claude-opus-4-5-20251101,Reading Level: Grade 4,4,False,,1.381
1,3,claude-opus-4-5-20251101,Reading Level: Grade 4,4,False,,0.84
2,3,claude-opus-4-5-20251101,Reading Level: Grade 4,4,False,,1.485
3,3,claude-opus-4-5-20251101,Reading Level: Grade 3,3,False,,1.584
4,4,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.41
5,4,claude-opus-4-5-20251101,Reading Level: Grade 3,3,False,,1.729
6,4,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.58
7,4,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.575
8,4,claude-opus-4-5-20251101,Reading Level: Grade 4,4,False,,1.601
9,5,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.439
10,5,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.147
11,5,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.841
12,5,claude-opus-4-5-20251101,Reading Level: Grade 4,4,False,,1.58
13,5,claude-opus-4-5-20251101,Reading Level: Grade 4,4,False,,0.929
14,6,claude-opus-4-5-20251101,Reading Level: Grade 6,6,False,,1.669
15,6,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.645
16,6,claude-opus-4-5-20251101,Reading Level: Grade 6,6,False,,1.148
17,6,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.654
18,6,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.965
19,7,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.662
20,7,claude-opus-4-5-20251101,Reading Level: Grade 6,6,False,,1.527
21,7,claude-opus-4-5-20251101,Reading Level: Grade 7,7,False,,1.788
22,7,claude-opus-4-5-20251101,**Reading Level: Grade 6**,6,False,,1.449
23,7,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,8.616
24,7,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.655
25,8,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,8.111
26,8,claude-opus-4-5-20251101,Reading Level: Grade 6,6,False,,1.536
27,8,claude-opus-4-5-20251101,Reading Level: Grade 6,6,False,,6.386
28,8,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.555
29,8,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,8.879
30,8,claude-opus-4-5-20251101,Reading Level: Grade 5,5,False,,1.911
