passage_id,true_grade,model,raw_response,predicted_grade,parse_error,error_message,duration_seconds
0,3,deepseek-r1:8b,Reading Level: Grade 3,3,False,,9.649
1,3,deepseek-r1:8b,Reading Level: Grade 3,3,False,,30.014
2,3,deepseek-r1:8b,Reading Level: Grade 4,4,False,,9.091
3,3,deepseek-r1:8b,Reading Level: Grade 3,3,False,,5.07
4,4,deepseek-r1:8b,,,True,,66.29
5,4,deepseek-r1:8b,,,True,,66.115
6,4,deepseek-r1:8b,,,True,,66.208
7,4,deepseek-r1:8b,Reading Level: Grade 3,3,False,,16.052
8,4,deepseek-r1:8b,Reading Level: Grade 3,3,False,,18.078
9,5,deepseek-r1:8b,Reading Level: Grade 3,3,False,,21.008
10,5,deepseek-r1:8b,Reading Level: Grade 5,5,False,,53.155
11,5,deepseek-r1:8b,Reading Level: Grade 5,5,False,,53.434
12,5,deepseek-r1:8b,Reading Level: Grade 5,5,False,,65.26
13,5,deepseek-r1:8b,Reading Level: Grade 5,5,False,,48.818
14,6,deepseek-r1:8b,Reading Level: Grade 5,5,False,,60.886
15,6,deepseek-r1:8b,Reading Level: Grade 3,3,False,,19.591
16,6,deepseek-r1:8b,Reading Level: Grade 5,5,False,,13.257
17,6,deepseek-r1:8b,Reading Level: Grade 5,5,False,,9.233
18,6,deepseek-r1:8b,Reading Level: Grade 4,4,False,,5.055
19,7,deepseek-r1:8b,Reading Level: Grade 5,5,False,,56.786
20,7,deepseek-r1:8b,Reading Level: Grade 5,5,False,,17.533
21,7,deepseek-r1:8b,Reading Level: Grade 3,3,False,,5.993
22,7,deepseek-r1:8b,Reading Level: Grade 5,5,False,,65.681
23,7,deepseek-r1:8b,Reading Level: Grade 5,5,False,,47.704
24,7,deepseek-r1:8b,Reading Level: Grade 3,3,False,,8.395
25,8,deepseek-r1:8b,,,True,,66.769
26,8,deepseek-r1:8b,Reading Level: Grade 5,5,False,,52.223
27,8,deepseek-r1:8b,,,True,,66.621
28,8,deepseek-r1:8b,Reading Level: Grade 5,5,False,,46.466
29,8,deepseek-r1:8b,Reading Level: Grade 5,5,False,,50.199
30,8,deepseek-r1:8b,Reading Level: Grade 5,5,False,,53.999
0,3,gpt-oss:20b,,,True,,70.172
1,3,gpt-oss:20b,Reading Level: Grade 7,7,False,,17.836
2,3,gpt-oss:20b,Reading Level: Grade 5,5,False,,13.962
3,3,gpt-oss:20b,Reading Level: Grade 3,3,False,,6.848
4,4,gpt-oss:20b,Reading Level: Grade 5,5,False,,5.444
5,4,gpt-oss:20b,Reading Level: Grade 5,5,False,,15.511
