"true_y","random_forest_predictions.Lower_95_CI","random_forest_predictions.Median_Prediction","random_forest_predictions.Upper_95_CI"
3,4.20694166666667,4.4925,4.7761125
3,4.72620238095238,4.99835714285714,5.26107916666667
3,3.98311666666667,4.161,4.40761666666667
3,3.08745833333333,3.22741666666667,3.51441666666667
4,4.60838333333334,4.85416666666667,5.09997678571428
4,5.0696625,5.36166666666667,5.61642916666667
4,5.36895833333333,5.59,5.87992916666667
4,4.8406625,4.98988095238095,5.16479166666667
4,4.0530125,4.28666666666667,4.51323154761905
5,4.3611875,4.53582142857143,4.75969583333333
5,4.89745416666667,5.13663095238095,5.39460416666667
5,5.07378928571429,5.33867857142857,5.61445
5,5.42500416666667,5.69533333333333,6.02711666666667
5,4.30265833333333,4.50733333333334,4.7618375
6,6.89654166666667,7.08233333333333,7.19429166666667
6,6.08434107142857,6.41833333333333,6.78275
6,6.87479226190476,6.99335714285714,7.14041666666667
6,5.1510625,5.31183333333333,5.4980244047619
6,5.01308333333333,5.32358333333333,5.64362380952381
7,6.755425,6.84916666666667,6.96095833333334
7,5.81827083333333,6.03453571428571,6.22652619047619
7,6.63065833333333,6.7180119047619,6.80695357142857
7,6.90886845238095,7.03533333333334,7.1738
7,6.89891666666667,7.19016666666667,7.38047916666667
7,6.7684375,6.89,6.99429166666667
8,5.598425,5.76358333333333,5.971525
8,6.87457083333334,6.98091666666667,7.13883333333333
8,6.97596666666667,7.17666666666667,7.30200416666667
8,6.785675,6.9015,7.04708333333333
8,6.74158333333333,6.91146428571429,7.09485
8,6.55110416666667,6.77741666666667,7.04959166666667
