Passage,Grade Level
"Sylvie and Sammy’s teacher has announced that students will do a project for “Make a Difference Day.”  This means students will find a special way to help others. Sylvie and Sammy are doing the project together. Sylvie tapped Sammy’s shoulder and pointed to the swing set.  They always got their best ideas on the swings. “Race you up!” She hopped on a swing and pumped her legs.  Sammy followed.Sylvie tightened her grip and kicked in the air. “We need to do something extra stellar for the animals.”. . .“Hmm.” Sammy tilted his head. “I have a few ideas too. Maybe we can look over our lists together.” Sylvie knew Sammy would be full of awesome ideas. Sammy slowed his swing and pulled out a piece of paper.  He passed it to Sylvie.“An art show to raise money for animals?” asked Sylvie, waving her list.  “I had the same idea! Here, number 139.”“Number 139?” asked Sammy, his mouth opened wide. . . . “Ready to start planning our art show for animals?” asked Sylvie. “Or ‘Paint Out!’ Sounds more stellar, doesn’t it?” “Wait. What?” asked Sammy.“The Paint Out. We can have it on Beach Street. People can paint portraits of their pets outside the shops. Then we can sell the paintings. We can donate the money to the Sea View Animal Shelter.” “They could help all the animals in Sea View,” said Sammy.. . .They got to work right away. Before dinner, they had gotten permission from the town to hold the Paint Out, informed the Sea View Animal Shelter of their upcoming “biggest donation ever,” and told friends and family to save the date.. . .With all that planning, the week had flown by.  The paint, glitter, glue, and sprinkles were gathered, ready to decorate the blank canvases. Make a Difference Day was finally here! .. .How could it be 6:15 in the morning already?  Sylvie flung the door open and pulled her best friend inside.“Sammy, thank goodness. It’s getting late!” Sammy looked at the clock. He made a confused face. “OK, we’re ready. Mom and Dad squeezed in the supplies you brought over yesterday into the car. And the booth for the dog.” A smile spread across Sylvie’s face. “Ah, yes! You mean the booth for my Make a Difference Day star! He’ll sit in his booth for everyone to see, admire, and even paint!” Sammy picked up the new boxes Sylvie had set out. “That sounds great,” he said. He pointed to the photo album on top of the boxes.  “I brought some pictures of my pets that people can use as models.” . . . Two hours later, Sylvie put down her glue and took in their work.  She and Sammy had transformed Beach Street into the biggest Paint Out party in the history of Sea View.Sylvie looked around.  A balloon arch spelled “Happy Make a Difference Day” from streetlight to streetlight. Paint-themed songs blasted over speakers. Blank canvases lined the street from Sea View Slices to Sea View Scoops, and everything in between. Paint cans and buckets of brushes were set out on a big table. Bowls of glitter, glue, and decorative rainbow sprinkles sparkled in the morning light. People arrived by foot, car, and bus. And an occasional surfboard. When Sylvie’s family got there, she put them into position. Sammy flipped his photo album to a picture of his bearded dragon and turtle. “I think we’re ready,” he said. “Just a few finishing touches,” Sylvie said. She ran to the booth and fluffed the dog’s pillows.  She wiped drool off his jowls. She colored chalk stars on the street around him.“Now?” Sammy asked.Sylvie nodded. She squeezed in a few warm-up stretches and reached for her megaphone.  “Places, people! We’re open for business. Let the Paint Out begin!” . . . Before long, the Paint Out was in full swing. Empty canvases filled with color.  Rainbows swirled in water jars as paintbrushes were rinsed. Dogs, cats, hamsters, and even a rat adorned the art of Sea View’s citizens. ",3
"Flexible Fingers Raccoons have round bodies that are covered in thick brown or gray fur.  They have black masks on their faces and black rings on their tails. They have four black paws.  Raccoon paws have five fingers, just like a person’s hands do. Adults tend to weigh between 10 and 30 pounds.  They are about 2 to 3 feet long from nose to tail.Raccoons are very smart and quick. They can use their flexible fingers on their front paws to do things that most other animals cannot do.  These include untying knots and turning doorknobs!Eating Almost Anything Raccoons are omnivores. This means they eat both plants and animals. Exactly what a raccoon eats depends on where it lives. They may eat fruits, nuts, berries, seeds, eggs, insects, crayfish, frogs, fish, and turtles.  Raccoons sometimes even catch young gophers, squirrels, mice, and rats. Raccoons living near people also eat pet food and garbage. Raccoons look for food at night. They use the many nerves on the bottoms of their paws to feel their food. Raccoons often dip their food in water before they eat it.  Scientists think that this softens the raccoons’ feet and makes it easier for them to feel their food. . . . Night and Day Raccoons are mostly nocturnal. This means that they rest during the day and are active at night.  Raccoons can be pests for people in neighborhoods and cities. They tip over trash cans, dig through gardens, and pull down bird feeders looking for food. They may hide or have babies in places where they are not wanted, such as chimneys, attics, and basements. Raccoons keep safe from predators and people by hiding during the day. However, they are sometimes killed by cougars, bobcats, coyotes, dogs, owls, eagles, and snakes.  They also die from hunger, being hit by cars, or getting sick.Many Different Dens Raccoons are thought to be solitary animals.  This means adults spend most of their time alone. Raccoons tend to stay within a home range of about one square mile. In this home range, they have many hiding places that they use as dens. Unlike some other mammals, raccoons do not hibernate in the winter. During the winter, they spend a lot of time in their dens, keeping warm. However, they will leave their winter dens to find food if the weather is not too cold.  Sometimes many raccoons will share a large den to keep warm and safe during a winter storm. . . . People and Raccoons Raccoons are in no danger of dying out in the United States.  In fact, their numbers may be growing. This may be because they have adapted so well to living in neighborhoods and cities near people. You may see raccoons around your home at night. Raccoons can be fun to watch, but you should never get too close.  Raccoons can sometimes spread diseases to people. If you like raccoons, try visiting them at a zoo or looking for their tracks in a park! ",3
"This story is about a girl named Marta and a lesson she learns. Grandmother’s big moon tortillas were the best in the world!  The head of Marta Enos was filled with the knowing of fresh tortillas. Oh, that sweet, crisp, little-bit-burnt smell! It went to Marta’s stomach, which rumbled and growled, and then on down to her feet, making her toes twitch towards the cookhouse. The legs of Marta Enos would not wait another minute. They were in such a hurry to run to the cookhouse that they knocked over Marta’s table, and that is when a disaster happened. The homework papers with their neat writing and beautiful drawings went out the window onto the breath of the fussing wind. The wind huffed the papers high into the air. Then, with a little cough, it spread them over the village. The legs of Marta Enos were sorry for their mistake, and they ran out to chase the homework papers, which slipped and slid like kites without string. But the dogs, too, were chasing. Leaping into the air, they barked to each other. A game! A game! In no time at all, the beautiful homework papers were torn and chewed into trash. The second disaster happened when Marta tried to pull a page away from a puppy.  Her glasses fell off, and she stepped on them. One arm of her glasses broke in half. She did not smell the tortillas anymore.  Her head was filled up to her eyes with grief and tears as hot as chili peppers. Ruined homework! Broken glasses!  Marta Enos ran to Grandmother.Grandmother left her tortillas and sat down, as big as a bed and warm from the cooking. As she smoothed Marta’s hair with her floured hands, she said, “Hush! Hush! If you cry so much you’ll put out the fire.” “The dogs ate my homework, and I can’t see to do any more!” Marta sobbed.Grandmother rocked her.  “Little problems,” she said. “Too small for a big rainstorm. We’ll repair your eyeglasses.” But the tears of Marta Enos still ran through her eyes and nose and made hiccups in her throat. So Grandmother sang to her an old healing song, and with the healing song there was a story. “When we have a problem we must choose what we will be. Sometimes it is good to be a tree, to stand up tall in the desert and look all ways at once.” “Sometimes it is best to be a rock, to sit very still, seeing nothing and saying nothing.” “Sometimes when you have a problem, you have to be a strong mountain lion, fierce and ready to fight for what is right.” “Sometimes the wisest thing is to be an eagle and fly. When the eagle is high up, it sees how small the earth is. It sees how small the problem is, and it laughs and laughs.” Grandmother wound some tape around the arm of the glasses. She put the glasses back on the nose and ears of Marta Enos.  “That should be OK until we get them fixed,” she said. “Now, one tortilla before supper?” Grandmother pinched a ball of dough and slapped it between her hands, flip-flap, flip-flap, flip-flap. When it was as big and pale as a rising full moon, she dropped it onto the iron plate above the red-hot coals of the fire. Ah, the smell as the tortilla bubbled and browned! “I have decided,” said Marta Enos, her legs doing a tortilla dance. “I am going to be the eagle.”Grandmother nodded.  “That is very wise,” she said, turning the tortilla over. “Fly high and laugh. Then come back and do your homework.” ",3
"I’m the North Wind. 
I am cold. I am strong.
No one can beat me
When I come along.I am the Sun. 
I am gentle and warm.
That gives me more power
Than coldness or storm. Silly old Sun,
You are not very bright!
Let’s have a contest
To see who is right. Look down below,
At that bundled-up man.
Make him take off his coat
If you can. Of course I can do that! 
I’ll raise up a squall
And blow off his coat
With no trouble at all. The more that you blow, Wind,
And show off your might,
The more the man shivers
And pulls his coat tight. Well you go and try
Since you think you’re so hot! 
But if I can’t do it,
You surely cannot.I’ll come out right now
From behind this big cloud
And warm the man up. 
Look! He’s laughing out loud!So what if he’s laughing
And you’re shining bright!
He’s still got his coat on. 
It’s still pulled up tight.But look at him now! 
Though I don’t want to gloat,
I have made him so hot,
He’s unbuttoned his coat! He has taken it off!
You have beaten me, Sun! So I have, silly Wind!You have lost! I have won!",3
"All Through the Night . . .
Sleep has puzzled people for a long time. Why do we lie down and zone out for hours every night? Isn’t sleep just a giant waste of time? Could we learn to do without it?

Now scientists are beginning to answer some of those questions. They’ve discovered that brains and bodies don’t just shut down at night. Quite the contrary! At night, your body repairs itself and grows strong. Your brain is busy making memories and learning. Sleep is so useful that all animals do it. And without it, waking life would be impossible.

After lying down, most people take about 20 minutes to fall asleep. In the twilight zone between asleep and awake, your brain begins to drift. It muffles signals from the muscles and senses, ignoring information from the outside world. That can give you the odd sensation of falling. You aren’t really—you’re just falling asleep. . . .

As you slip into sleep, your heart slows down and you breathe more slowly. Your eyes shut, and your brain ignores ordinary sounds. That’s why when you’re sound asleep, you don’t hear small noises or other things that might wake you up. The part of the brain that keeps you aware of time passing also switches off, so in the morning it feels like the night takes no time at all.

But your brain does not shut down at night. In fact, it gets quite active. It’s got important jobs to do.

Sleep, Dream, Repeat
Dream Yourself Smart
You might think sleep is just . . . sleep. But in fact, you do several different kinds of sleeping, cycling through them several times through the night.

First is a light sleep. After about half an hour, your brain sinks into a deep sleep. During deep sleep, long, slow waves of electrical impulses move through the brain. These slow waves move all the important things you learned and did today from short-term memory into long-term memory. At the same time, you forget unimportant details like putting on your socks. That frees up space to learn new things tomorrow.

After about 20 minutes or so of slow-wave sleep, your sleeping brain shifts gears. It starts to look more awake—though it isn’t. In the next stage of sleep, your muscles go completely slack. Your body doesn’t move at all. But your eyes dart back and forth behind closed eyelids. This motion gives this kind of sleep its name—REM, for “rapid eye movement.”

During REM sleep, the brain is making connections. It links new experiences to old memories. It also bundles together actions you’ve been practicing, such as the motions of riding a bike, into a new, single muscle memory: ride bike. All this connecting triggers dreams—which can get pretty weird.

You cycle through stages of light, deep, and REM sleep every 90 minutes, over and over, all night long. At the beginning of the night, you do more slow-wave sleeping, while the brain cleans house. Toward morning, you get more REM sleep, as it builds new knowledge. That’s when the most vivid dreams happen.

Why do we dream? Scientists aren’t completely sure, but they have some ideas. Dreams might be a side-effect of memory making. While you sleep, your brain sorts through everything that happened during the day. It tries to link new experiences to old memories that are similar in some way. As it connects things, the “story-making” part of your brain turns them into a story, and you get a dream. . . .

When it’s sorting through the day’s memories, your brain pays special attention to anything that made you feel extra happy or scared or excited. In dreams, the brain can try out solutions to problems that are bothering you. Finding even a weird dream solution can make you feel more in control the next day.

Dreams can even help you learn. In one test, volunteers learned how to play a new game. That night, some of them were awakened whenever they entered REM sleep. The others were awakened the same number of times, but only during non-REM sleep. The next day, the people who got their REM sleep did much better at the game. The players who started out being worst at the game had the most dreams about it—and they improved the most.

So if you want to do well on that test, don’t stay up all night studying. Instead, get a good night’s sleep. That’s when your brain learns best.",4
"It was spring break for Dustin and a good day for an adventure. The railroad tracks looked endless so he decided to follow them. The sky was Easter egg blue. The fluffy clouds reminded Dustin of his favorite frosting, vanilla. The shiny, golden sun bounced happily in the sky.

“What is that in the grass?” he wondered. Was it a gigantic rock, or maybe a big, brown, sleeping turtle? He bent down to investigate!

“A wallet!” he exclaimed as he picked it up and peeked inside. It was full of all kinds of stuff! And a tiny photo of twin boys.

“Somebody lost this, I’ll bet! Mom will know what to do!” Off Dustin ran to their apartment.

“Well, let’s just look inside and see who owns this wallet,” Dustin’s mom, Marisa, said cheerfully. They emptied it onto their kitchen table and searched for a clue. There it was, a note written in crayon!

“We love you, Dad!—Carlos and Hugo.”

“This must be a wonderful man. His boys love him very much,” remarked Dustin’s mom.

“Look, mom, this picture must be of them and they look like they are my age. I wonder if they live around here,” Dustin said aloud as his excitement grew. Then they saw another clue, a driver’s license and now they knew the owner of that old, brown wallet was named Salvador!

“This card says their address is far away in a different city,” said his mom sadly. Now what would they do?

Finally they found the best clue of all; a phone number on the back of Salvador’s shiny, silver credit card.

“I will contact Salvador for you with the good news,” said the kind lady who answered the phone.

The very next day Dustin’s doorbell rang and when Dustin and Marisa answered the door, there stood a smiling man who introduced himself as Salvador!

“Thank you, Dustin. You are a fine young man,” he said as he shook Dustin’s hand, “I rode the train to my job here in your city and my wallet fell out of my pocket. I thought I would never see it again! My sons will be happy to meet you. We are coming here to spend the day at Rocket Land tomorrow, and I would like you and your mom to come with us if you can.”

“That will be just fine,” smiled Dustin’s proud mother.

“Yeah, that sounds great! I can’t wait to meet Carlos and Hugo,” grinned Dustin as he said good-bye to Salvador.

“You did the right thing, sweetheart,” his mom said softly as he ran into the kitchen just in time to see her putting the last bit of his favorite vanilla frosting on a big, chocolate cake and reaching out to give him a “proud mom” hug.

“Thanks mom! This has been the best adventure ever!”

The very next day Dustin and his mom heard their doorbell chiming loudly.

Dustin peeked through his living room window and there stood four smiling people and one tiny, excited Chihuahua dog.

“I’ll get it,” exclaimed Dustin as he ran and opened their front door.

“Hello, my friend,” Salvador said to Dustin, “I would like you to meet my wife, Emerita, and my sons, Carlos and Hugo, and our dog, Chica. She’s also excited to go to Rocket Land. We take her with us every year.” Chica yipped loudly and jumped into the air when she heard her name.

“Please come in,” said Dustin’s mom. “We are ready to leave and I have packed us all snacks to eat on the way there. Now, what should I put in for Chica?”

“Don’t worry, we have plenty of doggie snacks for her in our van,” laughed Salvador.

“I baked cochinos and churros, and biscochitos for us too,” said Emerita. “They are delicious cookies and they are loved by everyone in our country.”

“I want to sit in the back seat with Hugo and Carlos,” said Dustin as he grabbed his jacket. Emerita and Marisa nodded their approval and the group climbed into the blue van headed for Rocket Land.

“Salvador’s wallet sure seems to be a magic friend maker,” smiled Marisa as they happily drove away.",4
"Rosa’s parents are planning a big birthday celebration for her older sister, Susana. Rosa has disagreements with her family members as they prepare for the party.

I rode my bike up into the hills behind our house. The day was getting hot, and my T-shirt stuck to my back as I churned hard on the pedals. The sun was turning the Sangre de Cristo Mountains a rosy gold color.

My throat dried up, my leg muscles ached with fatigue, and my lungs felt like they were about to burst. Even so, I enjoyed making the steep but quick (ten-minute) climb to Miss Sabines’ house. I was heading to a place that had always given me comfort for my troubles.

Miss Sabines is 70 years old, but to me she seems like a sister, an hermana. She has long silver hair in a braid down her back. All the other older women I know have either short hair or chin-length hair, but Miss Sabines has never cut hers. She enjoys braiding my hair, for she says its long, thick, wavy strands remind her of her own. My face is like hers, too. We both have round, chubby cheeks and big eyes like brown buttons. Now that Miss Sabines is older, her eyes have a ring of bluish white around the brown part, but they’re shaped just like mine.

Miss Sabines and I have more in common than just our looks. We’re both smart, but we also daydream too much. It’s a big contrast from my sister Susana, who is very practical and hardly ever daydreams.

Speaking of daydreams, I often fantasize about living in a house like Miss Sabines’. My family’s house is bigger and fancier than Miss Sabines’, but I’d trade a mansion for her little casa any day. It has a big garden, with beautiful desert plants and herbs growing everywhere, and a courtyard that has tiles painted bright colors, with sculptures, pinwheels, wind chimes, and lawn ornaments scattered throughout. There’s a cat, who sleeps under a lemon tree in the corner of the garden, along with a parrot, Tío, meaning “Uncle,” who sits on a perch by the kitchen door.

When I got to Miss Sabines’ house, I took off my bike helmet and threw my bike down on the sandy strip outside her gate. I rattled her courtyard fence and called, “Are you there?”

“Rosita, is that you? What a nice surprise! Hold on a moment; I’m in the garden.” The pleasant voice came floating across the courtyard walls, putting me instantly at ease. In a moment, Miss Sabines appeared at her rickety, rusty front gate. She had on a straw hat to shade her face, but as she approached, she took it off and grinned. I helped her unhook the tricky latch on the gate and immediately gave her a big hug.

“My, what did I do to deserve this?” Miss Sabines laughed, pulling away from the hug. She peered intently into my eyes. “You look troubled. What do you have to tell me?” she asked. . . .

I expected Miss Sabines to feel sorry for me and understand my problems, but instead she laughed. The laugh started in her belly, echoed in her chest, and came out her mouth like a low, happy rumble. At first I was confused; I thought maybe she hadn’t understood me, but then she explained.

“Ah, pequeño pájaro,” she said. “Little bird, you remind me so much of myself!” . . .

We passed the rest of the afternoon puttering around the house. Miss Sabines showed me some of her new plantings, we played with her pets, and I leafed through a collection of photographs by Ansel Adams, whom Miss Sabines calls a “poet of Southwestern landscapes.” All of a sudden (or so it seemed), the June sun sank below the garden wall.

“Oh, no!” I gasped, looking at my watch. It read 5:55 P.M. “We’re having a party tonight, and I’ve been gone for hours!”

“Well, then, you’d better get home, muchacha!” Miss Sabines said.

I latched the gate, put on my bike helmet, and got on my bike. “Thank you for the talk, Miss Sabines!” I waved. “You’ll always be my hermana across time!”

Miss Sabines waved back. “I’m always available for advice,” she called out as I sped off down the hill.",4
"Cal and Marie Callender married in 1924. After spending 20 years raising their son Don, Marie decided to start a career in cooking.

Baking Boom
Callender had become a skilled baker and cook while taking care of her family. In the 1940s, she decided to put these skills to work outside the home. Callender took a part-time job at a delicatessen. There, she made salads and hot foods.

Soon, the delicatessen’s owner asked Callender to make pies. She baked the pies at home, using her own recipes. Then she brought the pies to the delicatessen. Customers loved the pies’ light, flaky crusts and fresh fruit or cream fillings. The desserts were soon very popular. . . .

The demand for Callender’s pies continued to grow. Soon, she could not keep up on her own. Callender spoke with her son and husband about helping her. The Callenders decided to turn making pies into a family business.

Setting Up Shop
Callender also spoke with her boss about how busy she had become baking pies. He supported her decision to quit her job to focus on making pies full time. And he promised to buy pies from her for his restaurant. He even let Callender take the oven from his bakery to use in her new business.

With the oven and help from Cal and Don, Callender was ready to get to work. She planned to sell hundreds of pies to local restaurants each week. But making that many pies would require a bigger space than the Callenders’ home kitchen.

The Callenders sold the family car. They used the money to fund the business. They rented a Quonset hut in Long Beach, California. The family also purchased baking equipment and supplies. . . .

The Callenders’ success continued for the next 16 years. By then, they were baking thousands of pies each week. They made enough profit to buy better equipment. This included a commercial mixer that could mix the ingredients for many pies at once. The family also bought a new truck for delivering the pies to stores.",4
"Prune Macaroon, baker to the king, had a terrible dilemma. “I’ll be ruined!” he cried to his friend Able Bloke, the tailor from next door. “The king will never hire me again—never! Just look at this!”

He thrust a drawing of a cake at the tailor. Not just any cake, but the fanciest, frilliest wedding cake Able had ever seen. It had eight towering tiers adorned with ribbons, lace, flowers, pinwheels, and countless tiny details.

“The king’s wedding is tomorrow,” Prune groaned, “and I’m supposed to make this wedding cake for his new queen. But I just heard from my poor mother, who lives three kingdoms away. She stubbed her toe on a large block of cheese and needs me to take care of her today. What will I do?” Pulling a floury handkerchief from his pocket, he broke into fresh tears. . . .

“Why don’t you let me make the wedding cake?” suggested Able. “I’ve spent hours watching you work on cakes, and I’ve picked up many tricks. You take care of your mother while I take care of the cake.” . . .

Able got right to work measuring and mixing ingredients in monster-sized bowls. He felt pleased with his progress as he poured batter into giant cake pans and slid them into the oven. . . .

But the sugar paste was slippery and wouldn’t hold its shape. Able mixed in more sugar to stiffen it, but it cracked and broke like fine china. By the end of the afternoon, he had only a pile of sugar shards and a white, gloppy lump of paste. . . .

“I should never have offered to do this!” he bellowed at the stones. “I’m not a baker—I’m a tailor!”

The last few words echoed off metal pots and pans, ringing in his ears. He repeated it to himself, slowly this time. Then he turned off the oven, picked up the drawing, and left. . . .

As morning broke over the kingdom, Able Bloke emerged from his workshop in a clean white chef’s uniform. He was carrying the fanciest, floweriest, frilliest wedding cake the kingdom had ever seen. The villagers were amazed as he passed by. . . .

No one had guessed that Able had, in fact, made the cake entirely out of fabric, right down to the fine lacework and the petals on the flowers.",4
"Yo-Yo Ma has been playing the cello since he was a young boy. He gave his first concert at the age of five. Because of his talent, hard work, and creativity, today Yo-Yo Ma is one of the world’s finest cello players. Yo-Yo Ma rocks his cello from side to side. He draws the bow across its strings. He concentrates completely. He seldom looks to see where to place his fingers. He throws his head back. His eyes close, his glasses reflecting the bright lights of the stage. His face is a mirror of the music he draws out of his instrument. During these moments Yo-Yo Ma feels at one with the music, with the other musicians, and with his audience. Listening to Yo-Yo Ma play the cello in concert is magical. He springs onto the stage with youthful energy. He greets the audience and the orchestra with a warm smile. Taking up his cello, he cradles the large instrument in his arms. The audience grows quiet. Soon they are drawn into a story he tells using his cello. Yo-Yo Ma loves making connections—to other kinds of music, to history, and to people. That is why his music appeals to so many different kinds of audiences. People like his sunny personality as much as they like his great talent.  He travels the world bringing music and joy to people’s hearts. . . . Early Childhood
Yo-Yo Ma was born to Chinese parents in Paris, France, on October 7, 1955. His father Dr. Hiao-Tsiun (hee-ow-shun) Ma was a violinist and music professor. His mother Marina was a singer. Yo-Yo has a sister who is four years older named Yeou-Cheng (yochung).  The words “Yo” and “Yeou” both mean “friendship” in Chinese. . . . Surrounded by Music
Yo-Yo was surrounded by music as an infant. Singing, playing, and listening to music was as natural as breathing for the Ma family. His mother had been trained as an opera singer. She sang in a beautiful, strong voice. His father played the violin. His sister played piano and violin. His parents played records of classical music for their children. Yo-Yo’s parents helped their son develop his musical talent. When he was very young, Yo-Yo could sing in tune. Yo-Yo began piano and violin lessons when he was three. His piano teacher was amazed at how quickly he learned. Dr. Ma taught his son to play the violin.  He noticed that Yo-Yo did not seem very interested in it. . . . A Big Instrument
One day Yo-Yo’s father took him to the Paris Conservatory of Music. In the corner was a large double bass. It is a stringed instrument that is about twice the size of a cello. The double bass is so big that some adults stand up to play it. Yo-Yo stopped and looked at the huge instrument. He pointed to it and said excitedly, “That’s what I want to play!” Yo-Yo told his father he did not like the sound the violin makes. “I want a big instrument,” the three-year-old said. The double bass was way too big for such a little boy, so Dr. Ma got Yo-Yo a small cello instead. Years later Yo-Yo offered another reason why the violin did not hold his interest. He said his sister Yeou-Cheng was “a fantastic musician, and I probably thought I could never play as well.” Note by Note
Dr. Ma was Yo-Yo’s first cello teacher. He had a special way of teaching. He did not start with easy pieces of music. Instead he taught Yo-Yo how to play music by one of the world’s greatest composers, Johann Sebastian Bach.  Bach wrote long, difficult pieces of classical music. . . . Short Lessons
The method Dr. Ma used to teach his son was simple. He gave very short lessons. Each day Yo-Yo only had to learn two measures of music. A measure is a few notes of music. Several measures make up a larger piece of music. Dr. Ma insisted that Yo-Yo learn each measure perfectly. That meant Yo-Yo had to memorize the notes. Then he had to practice them over and over. Every day Yo-Yo would learn two more measures of a Bach suite, a long piece of music. Soon he learned to recognize patterns in Bach’s music. Yo-Yo liked learning longer pieces of music this way, because he did not have to practice very long. After he learned every measure, he put them all together. He played beautiful, complex pieces of music. Many young cello players find it difficult to memorize music. Yo-Yo explained why his father’s method made it easy. “When a problem is complex, you become tense,” he said. “But when you break it down . . . you can approach each element without stress.” Dr. Ma said Yo-Yo played “like a shining star.” He had a good memory, and he concentrated better than most children his age. By the time he was five, Yo-Yo could play three Bach suites by heart. That year, he gave his first public recital at the University of Paris. ",5
